,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
6382,924,TOYOTA,Venza,2011,Jeep,Yes,Petrol,2.7,108398 km,4.0,Automatic,4x4,04-May,Left wheel,Silver,12
6383,891,HYUNDAI,Genesis,2016,Coupe,Yes,Petrol,2,112032 km,4.0,Automatic,Front,04-May,Left wheel,White,4
6384,1211,MERCEDES-BENZ,C 300,2010,Sedan,Yes,Petrol,3,118000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Black,12
6385,761,TOYOTA,Prius,2010,Jeep,Yes,Hybrid,1.8,256966 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12
6386,-,MERCEDES-BENZ,E 320,2004,Sedan,Yes,CNG,3.2,290000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Sky blue,10
6387,-,MERCEDES-BENZ,E 240,2000,Sedan,No,CNG,2.4,256000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Blue,6
6388,475,CHEVROLET,Volt,2012,Jeep,Yes,Hybrid,1.4,188419 km,4.0,Automatic,Front,04-May,Left wheel,Red,0
6389,769,CHEVROLET,HHR,2011,Jeep,Yes,Petrol,2.2,126765 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
6390,-,TOYOTA,Prius TSS LIMITED,2012,Hatchback,Yes,Hybrid,1.8,80000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,8
6391,584,TOYOTA,Corolla,2014,Sedan,Yes,Petrol,1.8,85500 km,4.0,Tiptronic,Front,04-May,Left wheel,Red,12
6392,919,BMW,X5,2012,Jeep,Yes,Diesel,3,103458 km,6.0,Automatic,4x4,04-May,Left wheel,White,0
6393,562,CHEVROLET,Cruze,2015,Sedan,Yes,Petrol,1.4 Turbo,88000 km,4.0,Automatic,Front,>5,Left wheel,White,12
6394,777,TOYOTA,Camry,2014,Sedan,Yes,Petrol,2.5,372202 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12
6395,697,HONDA,Civic,2015,Sedan,Yes,Petrol,1.8,64522 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
6396,-,NISSAN,Tiida,2007,Hatchback,Yes,Petrol,1.6,150000 km,4.0,Manual,Front,04-May,Left wheel,Black,6
6397,707,HYUNDAI,Tucson,2011,Jeep,Yes,Diesel,2,191490 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
6398,-,FORD,Fiesta,2012,Hatchback,No,Petrol,1.6,88000 km,4.0,Automatic,Front,04-May,Left wheel,Purple,6
6399,-,MINI,Cooper r50,2003,Coupe,Yes,Petrol,1.6,171770 km,4.0,Variator,Front,02-Mar,Right-hand drive,Black,4
6400,-,HONDA,Civic,2008,Coupe,Yes,Petrol,1.8,222680 km,4.0,Automatic,Front,02-Mar,Left wheel,Red,6
6401,-,NISSAN,Tiida,2006,Hatchback,Yes,LPG,1.5,178000 km,5.0,Automatic,Front,04-May,Right-hand drive,Green,7
6402,1111,HONDA,FIT,2012,Hatchback,No,Hybrid,1.3,99000 km,4.0,Automatic,Front,04-May,Right-hand drive,Silver,4
6403,1018,FORD,Escape,2011,Jeep,Yes,Petrol,3,70000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,8
6404,-,FORD,Transit,1998,Goods wagon,No,Diesel,2.5,228000 km,4.0,Manual,Rear,02-Mar,Left wheel,White,2
6405,1360,LEXUS,GX 460,2013,Jeep,Yes,Petrol,4.6,83680 km,8.0,Tiptronic,4x4,04-May,Left wheel,White,12
6406,-,VAZ,2121 (Niva),1997,Jeep,No,Petrol,1.7,200000 km,4.0,Manual,4x4,02-Mar,Left wheel,Green,0
6407,-,FORD,Fusion,2017,Sedan,Yes,Petrol,2.5,98000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,8
6408,475,CHEVROLET,Cruze,2012,Sedan,No,Petrol,1.4,115200 km,4.0,Tiptronic,Front,04-May,Left wheel,Carnelian red,8
6409,1399,MERCEDES-BENZ,E 350,2010,Sedan,Yes,Petrol,3.5,140000 km,6.0,Automatic,Rear,04-May,Left wheel,Blue,8
6410,642,CITROEN,C8,2012,Jeep,Yes,Petrol,2,192840 km,4.0,Automatic,4x4,04-May,Left wheel,Red,12
6411,638,KIA,Optima,2014,Sedan,Yes,Petrol,2,44768 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
6412,-,HONDA,Cr-v Cr-v,1998,Jeep,No,CNG,2,20000 km,4.0,Automatic,4x4,04-May,Left wheel,Silver,5
6413,419,CHEVROLET,Spark,2013,Hatchback,Yes,Petrol,1.2,149896 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12
6414,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,113293 km,4.0,Automatic,Front,04-May,Left wheel,White,4
6415,565,CHEVROLET,Matiz,2007,Sedan,Yes,Petrol,0.8,134863 km,4.0,Automatic,Front,04-May,Left wheel,Golden,4
6416,-,FORD,Transit,2000,Microbus,No,Diesel,2.0 Turbo,0 km,4.0,Manual,Front,02-Mar,Left wheel,White,2
6417,-,NISSAN,Serena,2005,Minivan,No,Petrol,2,111000 km,4.0,Automatic,Front,04-May,Right-hand drive,Grey,2
6418,308,TOYOTA,Prius,2014,Jeep,Yes,Hybrid,1.8,187334 km,4.0,Automatic,Front,04-May,Left wheel,White,12
6419,-,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,160800 km,6.0,Tiptronic,Front,04-May,Left wheel,Black,12
6420,-,FORD,Fiesta,1998,Sedan,No,Petrol,1,0 km,4.0,Manual,Front,02-Mar,Left wheel,Blue,2
6421,460,TOYOTA,Corolla,2020,Sedan,Yes,Hybrid,1.8,7467 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12
6422,753,HYUNDAI,Sonata,2012,Sedan,Yes,Hybrid,2.4,259934 km,4.0,Automatic,Front,04-May,Left wheel,Red,0
6423,1086,CHEVROLET,Camaro,2012,Coupe,No,Petrol,3.6,131200 km,6.0,Tiptronic,Rear,02-Mar,Left wheel,Black,0
6424,-,HYUNDAI,IX35,2014,Jeep,Yes,Diesel,2.0 Turbo,50000 km,4.0,Tiptronic,4x4,04-May,Left wheel,Carnelian red,8
6425,1855,NISSAN,Serena,2011,Minivan,No,Petrol,2,105000 km,4.0,Variator,Front,04-May,Right-hand drive,Silver,2
6426,-,HYUNDAI,Elantra Gt,2013,Hatchback,Yes,Petrol,1.8,118400 km,4.0,Tiptronic,Front,04-May,Left wheel,White,6
6427,1292,MERCEDES-BENZ,GLE 350,2016,Jeep,Yes,Petrol,3,49499 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,0
6428,-,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,69000 km,4.0,Tiptronic,4x4,04-May,Left wheel,Silver,10
6429,586,TOYOTA,Prius,2012,Hatchback,No,Hybrid,1.8,87000 km,4.0,Automatic,Front,04-May,Left wheel,Blue,7
6430,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,190549 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
6431,-,FORD,Transit,2004,Microbus,No,Petrol,2.4,1000 km,6.0,Manual,Rear,02-Mar,Left wheel,White,2
6432,2711,CHEVROLET,Suburban,2019,Sedan,Yes,Petrol,5.3,19901 km,8.0,Automatic,Front,04-May,Left wheel,Black,12
6433,1714,MERCEDES-BENZ,GLE 350,2017,Jeep,Yes,Petrol,3.5,39814 km,6.0,Automatic,Rear,04-May,Left wheel,Black,0
6434,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,390966 km,4.0,Automatic,Front,04-May,Left wheel,White,4
6435,934,LEXUS,IS 250,2015,Sedan,Yes,Petrol,2.5,101280 km,6.0,Automatic,Rear,04-May,Left wheel,White,12
6436,1079,AUDI,A3 4X4,2018,Sedan,Yes,Petrol,2,18283 km,4.0,Automatic,4x4,04-May,Left wheel,Black,10
6437,765,NISSAN,100 NX,2015,Sedan,Yes,Petrol,2,70395 km,4.0,Automatic,Front,04-May,Left wheel,White,12
6438,-,TOYOTA,Prius,2005,Sedan,No,Hybrid,1.5,21245 km,4.0,Variator,Front,04-May,Left wheel,Golden,4
6439,-,FORD,Transit,2008,Microbus,No,Diesel,2.4 Turbo,214000 km,4.0,Manual,Rear,04-May,Left wheel,Orange,2
6440,640,AUDI,A4,2013,Sedan,Yes,Petrol,2.0 Turbo,176000 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,10
6441,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
6442,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,190549 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
6443,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,361603 km,6.0,Automatic,Front,04-May,Left wheel,Black,12
6444,875,TOYOTA,Vitz,2012,Hatchback,No,Petrol,1,18000 km,3.0,Variator,Front,04-May,Right-hand drive,White,2
6445,893,HYUNDAI,I30,2008,Sedan,Yes,Petrol,1.6,136935 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
6446,891,MERCEDES-BENZ,C 300,2016,Sedan,Yes,Petrol,2,76218 km,4.0,Automatic,4x4,04-May,Left wheel,Black,12
6447,-,TOYOTA,Camry,2010,Sedan,No,Hybrid,2.4,80000 km,4.0,Automatic,Front,04-May,Left wheel,Golden,8
6448,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,301827 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
6449,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,431626 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4
6450,364,KIA,Picanto,2012,Sedan,Yes,Petrol,1,197687 km,4.0,Automatic,Front,04-May,Left wheel,White,4
6451,831,HONDA,Civic,2018,Hatchback,Yes,Petrol,1.5,2000 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
6452,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,455579 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4
6453,1058,TOYOTA,Highlander,2012,Jeep,Yes,Hybrid,3.5,157211 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
6454,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,650556 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4
6455,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,639273 km,4.0,Automatic,Front,04-May,Left wheel,White,4
6456,781,TOYOTA,Camry,2012,Sedan,No,Hybrid,2.5,118882 km,4.0,Tiptronic,Front,04-May,Left wheel,Red,12
6457,1493,MERCEDES-BENZ,GLE 350,2016,Jeep,Yes,Petrol,3.5,45000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Grey,12
6458,503,HONDA,Civic,2012,Jeep,Yes,Hybrid,1.5,146403 km,4.0,Automatic,Front,04-May,Left wheel,White,0
6459,-,BMW,X5,2015,Jeep,Yes,Petrol,3.0 Turbo,53638 km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,12
6460,-,TOYOTA,Prius,2013,Sedan,Yes,Hybrid,1.8,145000 km,4.0,Automatic,Front,04-May,Left wheel,White,0
6461,642,AUDI,A4,2012,Sedan,Yes,Petrol,2,292331 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
6462,875,TOYOTA,Vitz,2012,Hatchback,No,Petrol,1,195000 km,3.0,Variator,Front,04-May,Right-hand drive,Silver,2
6463,-,NISSAN,Tiida,2005,Hatchback,No,Petrol,1.5,150000 km,4.0,Variator,Front,04-May,Right-hand drive,Beige,4
6464,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,188078 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
6465,1268,HONDA,Fred,2012,Minivan,No,Hybrid,1.5,83000 km,4.0,Automatic,Front,04-May,Right-hand drive,White,4
6466,694,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2.2,83126 km,4.0,Automatic,Front,04-May,Left wheel,White,4
6467,765,FORD,Focus Titanium,2015,Sedan,No,Petrol,2,79000 km,4.0,Tiptronic,Front,04-May,Left wheel,Golden,8
6468,-,LEXUS,LX 570,2013,Jeep,Yes,Petrol,5.7,78400 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12
6469,-,TOYOTA,Prius C,2012,Hatchback,Yes,Petrol,1.5,162000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0
6470,-,KIA,Optima,2012,Sedan,No,Petrol,2.4,178528 km,6.0,Tiptronic,Front,04-May,Left wheel,Brown,0
6471,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,91804 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
6472,-,BMW,M3,2002,Coupe,Yes,Petrol,3.2,213866 km,6.0,Manual,Rear,02-Mar,Left wheel,Black,10
6473,738,VOLKSWAGEN,Jetta,2017,Sedan,Yes,Petrol,1.4 Turbo,68000 km,4.0,Manual,Front,04-May,Left wheel,Grey,12
6474,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,104112 km,4.0,Automatic,Front,04-May,Left wheel,White,4
6475,915,BMW,535,2014,Sedan,Yes,Diesel,3,110270 km,6.0,Automatic,Rear,04-May,Left wheel,Grey,12
6476,1292,HYUNDAI,Grandeur,2016,Sedan,Yes,LPG,3,31045 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
6477,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,190549 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
6478,971,SSANGYONG,Korando,2016,Jeep,Yes,Diesel,2.2,354889 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
6479,696,HYUNDAI,Santa FE,2013,Jeep,Yes,Diesel,2.2,138742 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
6480,447,HONDA,FIT,2013,Hatchback,Yes,Hybrid,1.3,151715 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
6481,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,150909 km,8.0,Automatic,4x4,04-May,Left wheel,Black,12
6482,1811,LEXUS,GX 470,2010,Jeep,Yes,Petrol,4.6,357246 km,8.0,Automatic,4x4,04-May,Left wheel,Grey,0
6483,-,MITSUBISHI,Pajero IO,1999,Jeep,No,Petrol,1.8,225000 km,4.0,Automatic,4x4,04-May,Left wheel,Blue,2
6484,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,514781 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4
6485,781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,110000 km,4.0,Tiptronic,Front,04-May,Left wheel,Red,10
6486,-,TOYOTA,Prius,2016,Sedan,No,Hybrid,1.8,239680 km,4.0,Automatic,Front,04-May,Left wheel,Grey,0
6487,-,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,122000 km,6.0,Automatic,Front,04-May,Left wheel,Grey,0
6488,629,HYUNDAI,Accent,2015,Sedan,Yes,Diesel,1.6,43457 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
6489,1514,LEXUS,GX 470,2011,Sedan,Yes,Petrol,4.6,202048 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
6490,584,VOLKSWAGEN,Passat,2014,Sedan,Yes,Petrol,1.8 Turbo,107200 km,6.0,Tiptronic,Front,04-May,Left wheel,Carnelian red,8
6491,777,TOYOTA,Camry,2014,Sedan,Yes,Petrol,2.5,53310 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
6492,1024,TOYOTA,Camry,2010,Sedan,No,Hybrid,2.5,184000 km,6.0,Automatic,Front,04-May,Left wheel,Grey,8
6493,528,HYUNDAI,Veloster,2014,Sedan,Yes,Petrol,1.6,127870 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
6494,1018,BMW,535,2011,Sedan,Yes,Petrol,3,143494 km,6.0,Automatic,Rear,04-May,Left wheel,Grey,12
6495,-,NISSAN,Altima,2015,Sedan,No,Petrol,2.5,108000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,8
6496,-,OPEL,Astra,1998,Goods wagon,No,CNG,1.6,200000 km,4.0,Manual,Front,04-May,Left wheel,Silver,2
6497,-,MERCEDES-BENZ,C 180,1995,Sedan,No,Petrol,1.8,333333 km,4.0,Manual,Front,04-May,Left wheel,White,0
6498,-,MERCEDES-BENZ,S 550,2006,Sedan,Yes,Petrol,5.5,225600 km,8.0,Automatic,Rear,04-May,Left wheel,Black,12
6499,-,TOYOTA,Prius S,2010,Hatchback,No,Hybrid,1.8,164000 km,4.0,Automatic,Front,04-May,Left wheel,Golden,6
6500,790,DAEWOO,Lacetti,2009,Sedan,Yes,Petrol,1.6,50549 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
6501,687,DAEWOO,Lacetti,2010,Sedan,Yes,Petrol,1.6,128216 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
6502,-,FORD,Transit,2006,Goods wagon,No,Diesel,2.4 Turbo,197500 km,4.0,Manual,Rear,02-Mar,Left wheel,Red,0
6503,753,KIA,Optima,2012,Sedan,Yes,Hybrid,2.4,224706 km,4.0,Automatic,Front,04-May,Left wheel,White,12
6504,-,TOYOTA,Land Cruiser,2016,Jeep,Yes,Petrol,4.5,43000 km,8.0,Automatic,4x4,04-May,Left wheel,Beige,0
6505,781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,314373 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
6506,779,TOYOTA,Camry,2013,Sedan,No,Petrol,2.5,176000 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,5
6507,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,547405 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4
6508,-,HONDA,FIT,2005,Sedan,No,Petrol,1.3,239825 km,4.0,Variator,Front,04-May,Right-hand drive,Silver,2
6509,-,RENAULT,Duster,2017,Jeep,No,Petrol,1.6,39000 km,4.0,Manual,Front,04-May,Left wheel,Grey,4
6510,-,TOYOTA,Highlander,2012,Jeep,Yes,Hybrid,3.5,114000 km,4.0,Automatic,4x4,04-May,Left wheel,White,12
6511,1194,TOYOTA,Tacoma,2013,Jeep,Yes,Petrol,4,239342 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
6512,530,HYUNDAI,Elantra,2013,Sedan,Yes,Petrol,1.6,130000 km,4.0,Automatic,Front,04-May,Left wheel,White,4
6513,-,TOYOTA,Land Cruiser,2004,Jeep,Yes,Diesel,4.2,525000 km,6.0,Manual,4x4,04-May,Left wheel,Black,4
6514,640,KIA,Optima,2013,Sedan,Yes,Petrol,2.0 Turbo,74000 km,4.0,Tiptronic,Front,04-May,Left wheel,White,12
6515,585,HYUNDAI,Elantra GT,2013,Hatchback,No,Petrol,1.8,75000 km,4.0,Automatic,Front,04-May,Left wheel,White,8
6516,-,NISSAN,Tiida,2005,Hatchback,Yes,Petrol,1.5,1111 km,4.0,Variator,Front,04-May,Right-hand drive,Green,7
6517,586,LEXUS,CT 200h,2012,Hatchback,Yes,Hybrid,1.8,149981 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
6518,-,NISSAN,X-Terra,2005,Jeep,No,LPG,4,196000 km,6.0,Manual,4x4,04-May,Left wheel,Black,6
6519,843,TOYOTA,Prius,2008,Hatchback,No,Hybrid,1.5,92000 km,4.0,Variator,Front,04-May,Left wheel,Grey,16
6520,1750,TOYOTA,Highlander,2008,Sedan,Yes,Hybrid,3.3,287274 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
6521,1172,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.5,132630 km,6.0,Automatic,Rear,04-May,Left wheel,Silver,12
6522,784,FORD,Fusion,2017,Sedan,Yes,Petrol,1.5,73909 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
6523,-,SUBARU,Legacy,2002,Sedan,No,Petrol,2.0 Turbo,16700 km,4.0,Tiptronic,4x4,04-May,Right-hand drive,Silver,4
6524,-,TOYOTA,Prius,2011,Hatchback,Yes,Hybrid,1.8,124000 km,4.0,Variator,Front,04-May,Left wheel,Grey,12
6525,1659,TOYOTA,Tundra,2014,Sedan,Yes,Petrol,5.7,0 km,8.0,Automatic,4x4,04-May,Left wheel,White,12
6526,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,456867 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4
6527,-,FORD,Transit,2006,Microbus,No,Diesel,2.0 Turbo,22500 km,4.0,Manual,Front,04-May,Left wheel,White,2
6528,333,FORD,Fusion,2014,Sedan,Yes,Hybrid,2,0 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0
6529,790,CHEVROLET,Lacetti,2009,Sedan,Yes,Petrol,1.6,96959 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
6530,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,85933 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
6531,-,VOLKSWAGEN,Touareg,2004,Jeep,Yes,Petrol,4.2,250000 km,8.0,Automatic,4x4,04-May,Left wheel,Beige,0
6532,474,CHEVROLET,Cruze,2013,Sedan,No,Petrol,1.4 Turbo,100000 km,4.0,Automatic,Front,04-May,Left wheel,Carnelian red,12
6533,640,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,88000 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
6534,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,190549 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
6535,-,HONDA,FIT,2009,Hatchback,No,Petrol,1.3,185000 km,4.0,Variator,Front,04-May,Right-hand drive,Blue,2
6536,528,NISSAN,Versa,2014,Hatchback,Yes,Petrol,1.6,91000 km,4.0,Automatic,Front,04-May,Left wheel,Sky blue,8
6537,697,HONDA,Civic,2015,Sedan,Yes,Petrol,1.8,62137 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
6538,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8.0,Automatic,4x4,04-May,Left wheel,Silver,0
6539,-,BMW,325,2002,Coupe,Yes,Petrol,2.5,205000 km,6.0,Tiptronic,Rear,02-Mar,Left wheel,Silver,6
6540,1493,MERCEDES-BENZ,E 350,2016,Sedan,Yes,Diesel,3.5,77205 km,6.0,Automatic,Rear,04-May,Left wheel,Grey,12
6541,765,HYUNDAI,Sonata,2015,Sedan,Yes,Petrol,2,36223 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
6542,1537,TOYOTA,Highlander,2009,Jeep,Yes,Hybrid,3.3,420550 km,6.0,Automatic,4x4,04-May,Left wheel,Blue,12
6543,-,NISSAN,X-Terra,2004,Jeep,No,CNG,3.3,216000 km,6.0,Manual,4x4,04-May,Left wheel,Silver,4
6544,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,122409 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
6545,-,TOYOTA,Vitz i.ll,2007,Hatchback,Yes,Petrol,1.3,205000 km,4.0,Automatic,Front,04-May,Right-hand drive,Carnelian red,4
6546,1586,KIA,Sorento,2007,Jeep,Yes,Diesel,2.5,72872 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
6547,751,HYUNDAI,Santa FE,2013,Jeep,Yes,Petrol,2.4,150440 km,4.0,Automatic,Front,04-May,Left wheel,Silver,11
6548,753,HYUNDAI,Sonata,2012,Sedan,Yes,Hybrid,2.4,243051 km,4.0,Automatic,Front,04-May,Left wheel,White,12
6549,779,VOLKSWAGEN,Passat,2013,Sedan,Yes,Petrol,2.5,115000 km,10.0,Automatic,Front,04-May,Left wheel,Silver,12
6550,-,MERCEDES-BENZ,C 220,2009,Sedan,No,Diesel,2.2 Turbo,278000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Silver,8
6551,919,BMW,X5,2012,Jeep,Yes,Diesel,3,103458 km,6.0,Automatic,4x4,04-May,Left wheel,White,0
6552,-,OPEL,Vectra,2000,Sedan,No,CNG,2,203000 km,4.0,Manual,Front,04-May,Left wheel,Silver,4
6553,1138,HYUNDAI,Genesis,2013,Coupe,Yes,Petrol,3.8,93470 km,6.0,Automatic,Rear,02-Mar,Left wheel,White,12
6554,900,HYUNDAI,Santa FE,2015,Jeep,Yes,Petrol,2.4,107106 km,4.0,Automatic,Front,04-May,Left wheel,White,12
6555,-,BMW,335,2008,Coupe,Yes,Petrol,3.0 Turbo,0 km,6.0,Tiptronic,4x4,02-Mar,Left wheel,Black,4
6556,2225,LEXUS,GX 460,2017,Jeep,Yes,Petrol,4.6,69918 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
6557,-,HONDA,FIT,2012,Sedan,No,Hybrid,1.5,80000 km,4.0,Automatic,Front,04-May,Right-hand drive,Green,0
6558,770,HYUNDAI,Tucson,2016,Jeep,Yes,Diesel,1.7,172858 km,4.0,Automatic,Front,04-May,Left wheel,White,4
6559,836,HYUNDAI,Tucson,2010,Jeep,Yes,Diesel,2,138196 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
6560,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
6561,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,259733 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
6562,642,HYUNDAI,Tucson,2012,Jeep,Yes,Diesel,2,88651 km,4.0,Automatic,Front,04-May,Left wheel,White,4
6563,1024,VOLKSWAGEN,Golf,2010,Hatchback,Yes,Petrol,2.5,105000 km,5.0,Tiptronic,Front,04-May,Left wheel,Red,10
6564,562,CHEVROLET,Cruze,2015,Sedan,Yes,Petrol,1.4,91200 km,4.0,Automatic,Front,04-May,Left wheel,Black,6
6565,1356,OPEL,Combo,2005,Goods wagon,No,CNG,1.6,146300 km,4.0,Manual,Front,04-May,Left wheel,White,2
6566,-,HONDA,Stream,2001,Minivan,No,Petrol,1.7,1000 km,4.0,Automatic,Front,04-May,Right-hand drive,Brown,0
6567,-,MERCEDES-BENZ,C 180,1999,Sedan,No,CNG,1.8,250000 km,4.0,Manual,Rear,04-May,Left wheel,Blue,4
6568,586,CHEVROLET,Cruze,2012,Sedan,No,Petrol,1.8,129023 km,4.0,Automatic,Front,04-May,Left wheel,White,12
6569,1493,MERCEDES-BENZ,GLE 350,2016,Jeep,Yes,Petrol,3.5,91493 km,6.0,Automatic,Rear,04-May,Left wheel,Black,0
6570,-,CHEVROLET,Volt,2012,Hatchback,Yes,Petrol,1.4,117000 km,4.0,Automatic,Front,04-May,Left wheel,Red,8
6571,1325,TOYOTA,RAV 4,2019,Jeep,No,Petrol,2.5,2565 km,4.0,Automatic,4x4,04-May,Left wheel,White,8
6572,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,74029 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12
6573,1099,SSANGYONG,REXTON,2010,Jeep,Yes,Diesel,2.7,195000 km,4.0,Automatic,Front,04-May,Left wheel,White,4
6574,1018,BMW,528,2011,Sedan,Yes,Petrol,3,150000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Blue,12
6575,764,CHEVROLET,Orlando,2015,Jeep,Yes,Petrol,2,31892 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
6576,1481,BMW,428,2017,Coupe,Yes,Petrol,3,71894 km,6.0,Automatic,Rear,02-Mar,Left wheel,Blue,12
6577,707,HYUNDAI,Tucson,2011,Jeep,Yes,Diesel,2,174308 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
